name,address,source,category,latitude,longitude
USC Village Parking,"3215 South Hoover Street, Los Angeles, CA 90007",USC Village,Parking,34.0252713,-118.284017
Alpha Delta Kappa,Unknown,Greek Life,Greek House,,
Delta Phi Kappa,Unknown,Greek Life,Greek House,,
Delta Epsilon Psi,Unknown,Greek Life,Greek House,,
Gamma Epsilon Omega,Unknown,Greek Life,Greek House,,
Alpha Gamma Alpha,Unknown,Greek Life,Greek House,,
Gamma Zeta Alpha (dormant),Unknown,Greek Life,Greek House,,
Kappa Delta Chi Sorority,Unknown,Greek Life,Greek House,,
Lambda Theta Nu,Unknown,Greek Life,Greek House,,
Lambda Theta Alpha,Unknown,Greek Life,Greek House,,
Lambda Theta Phi,Unknown,Greek Life,Greek House,,
Lambda Upsilon Lambda,Unknown,Greek Life,Greek House,,
Omega Phi Beta,Unknown,Greek Life,Greek House,,
Sigma Delta Alpha,Unknown,Greek Life,Greek House,,
Sigma Lambda Beta,Unknown,Greek Life,Greek House,,
Sigma Lambda Gamma,Unknown,Greek Life,Greek House,,
Zeta Phi Rho,Unknown,Greek Life,Greek House,,
Delta Tau Delta,Unknown,Greek Life,Greek House,,
Kappa Sigma,Unknown,Greek Life,Greek House,,
Sigma Alpha Epsilon,Unknown,Greek Life,Greek House,,
Sigma Phi Epsilon,Unknown,Greek Life,Greek House,,
"Alpha Phi Alpha Fraternity, Inc.",Unknown,Greek Life,Greek House,,
"Alpha Kappa Alpha Sorority, Inc.",Unknown,Greek Life,Greek House,,
"Kappa Alpha Psi Fraternity, Inc.",Unknown,Greek Life,Greek House,,
"Omega Psi Phi Fraternity, Inc.",Unknown,Greek Life,Greek House,,
"Delta Sigma Theta Sorority, Inc.",Unknown,Greek Life,Greek House,,
"Phi Beta Sigma Fraternity, Inc.",Unknown,Greek Life,Greek House,,
"Zeta Phi Beta Sorority, Inc.",Unknown,Greek Life,Greek House,,
"Sigma Gamma Rho Sorority, Inc.",Unknown,Greek Life,Greek House,,
Alpha Chi Omega,Unknown,Greek Life,Greek House,,
Alpha Delta Pi,"647 West 28th Street, Los Angeles, CA 90007",Greek Life,Greek House,34.026567,-118.2782114
Alpha Phi,Unknown,Greek Life,Greek House,,
Delta Delta Delta,Unknown,Greek Life,Greek House,,
Delta Gamma,"649 West 28th Street, Los Angeles, CA 90007",Greek Life,Greek House,34.0265824,-118.2782463
Gamma Phi Beta,Unknown,Greek Life,Greek House,,
Kappa Alpha Theta,"653 West 28th Street, Los Angeles, CA 90007",Greek Life,Greek House,34.0266133,-118.2783162
Kappa Kappa Gamma,"645 West 28th Street, Los Angeles, CA 90007",Greek Life,Greek House,34.0265516,-118.2781764
Pi Beta Phi,"655 West 28th Street, Los Angeles, CA 90007",Greek Life,Greek House,34.0266287,-118.2783511
Stauffer Science Lecture Hall,Unknown,USC Map,Academic Building,,
HSC Lot 71,Unknown,USC Map,Parking,,
Clinical Sciences Lot,Unknown,USC Map,Parking,,
Consolidated Lot,Unknown,USC Map,Parking,,
Eastlake Lot,Unknown,USC Map,Parking,,
HSC Lot 70,Unknown,USC Map,Parking,,
Norfolk Parking Lot (L25),Unknown,USC Map,Parking,,
Soto Lot,Unknown,USC Map,Parking,,
Valley Lot,Unknown,USC Map,Parking,,
Biggy Street Parking Structure,Unknown,USC Map,Parking,,
Keck Hospital of USC Parking Structure (P6),Unknown,USC Map,Parking,,
O’Neil Lot,Unknown,USC Map,Parking,,
Parkview Lot,Unknown,USC Map,Parking,,
Jefferson Boulevard Parking Structure,Unknown,USC Map,Parking,,
Figueroa Street Parking Structure,Unknown,USC Map,Parking,,
Grand Avenue Parking Structure,Unknown,USC Map,Parking,,
Parking Lot C (Credit Union Building),Unknown,USC Map,Academic Building,,
Royal Street Parking Structure,Unknown,USC Map,Parking,,
San Pablo Parking Structure,Unknown,USC Map,Parking,,
Keck Hospital of USC Valet Parking,Unknown,USC Map,Parking,,
USC Norris Patient Valet Parking,Unknown,USC Map,Parking,,
Downey Way Parking Structure,Unknown,USC Map,Parking,,
Healthcare Center 4 (HC4) Parking Garage,Unknown,USC Map,Academic Building,,
Parking Lot SSRI,Unknown,USC Map,Parking,,
USC Shrine Parking Structure,Unknown,USC Map,Parking,,
Flower Street Parking Structure,Unknown,USC Map,Parking,,
McCarthy Way Parking Structure,Unknown,USC Map,Parking,,
Allyson Felix Field,Unknown,USC Map,Athletic Facility,,
Amy King Dundon-Berchtold University Club of USC (KSH),Unknown,USC Map,Other,,
Andrus Gerontology Center (GER),Unknown,USC Map,Academic Building,,
Parking Lot 33,Unknown,USC Map,Parking,,
USC Village Garage,Unknown,USC Map,Parking,,
Los Angeles Fire Dept Station 15,Unknown,USC Map,Other,,
Bovard Administration Building (ADM),Unknown,USC Map,Academic Building,,
Broad CIRM Center (BCC),Unknown,USC Map,Academic Building,,
Healthcare Center 2 (HC2) Parking Garage (P4),Unknown,USC Map,Academic Building,,
Engemann Student Health Center (ESH),Unknown,USC Map,Academic Building,,
Fertitta Hall (JFF),Unknown,USC Map,Academic Building,,
Harris Hall (HAR),Unknown,USC Map,Academic Building,,
Seeley G. Mudd Building (SGM),Unknown,USC Map,Academic Building,,
Taper Hall (THH),Unknown,USC Map,Academic Building,,
Town and Gown (TGF),Unknown,USC Map,Other,,
Tutor Campus Center (TCC),Unknown,USC Map,Academic Building,,
Waite Phillips Hall (WPH),Unknown,USC Map,Academic Building,,
George Lucas Instructional Building,Unknown,OpenStreetMap,Academic Building,,
North Residential College,Unknown,OpenStreetMap,Other,,
New Residential College,Unknown,OpenStreetMap,Other,,
Birnkrant,Unknown,OpenStreetMap,Other,,
PED,Unknown,OpenStreetMap,Other,,
"USC Dornsife College of Letters, Arts and Sciences","3551 Trousdale Parkway, Los Angeles, CA 90089-0374",OpenStreetMap,Other,,
Olin Hall of Engineering,"3650 McClintock Avenue, Los Angeles, CA 90089",OpenStreetMap,Academic Building,34.0206925,-118.2895045
Harris Hall,Unknown,OpenStreetMap,Academic Building,,
USC Leonard Davis School of Gerontology,"3715 McClintock Avenue, Los Angeles, CA 90089",OpenStreetMap,Academic Building,34.0202376,-118.2904702
Icon Plaza,Unknown,OpenStreetMap,Other,,
Physical Education Building,"3650 Watt Way, los Angeles, CA 90007",OpenStreetMap,Academic Building,34.0213646,-118.2862879
University Gardens Building,Unknown,OpenStreetMap,Academic Building,,
University Religious Center,Unknown,OpenStreetMap,Academic Building,,
Mudd Hall,Unknown,OpenStreetMap,Academic Building,,
Dr. Joseph Medicine Crow Center for International and Public Affairs,Unknown,OpenStreetMap,Academic Building,,
Zumberge Hall,"3651 Trousdale Parkway, Los Angeles, CA 90089-0374",OpenStreetMap,Academic Building,,
